"loeuf_rank","input_order","e3_gene_symbol","ncbi_gene_id","uniprot_accession","e3_protein_class","major_e3_class","post_publication_update","match_status","match_method","match_note","gene","ensembl_gene_id","transcript_id","transcript_version","transcript_selection_method","chromosome","start_position","end_position","loeuf","pLI","plof_obs","plof_exp","plof_oe","missense_oe","missense_z","synonymous_oe","highly_lof_constrained","strong_missense_constraint","constraint_signal_pattern","quality_status","quality_flags","low_coverage_flag","poor_mappability_flag","gene_quality_metrics.exome_prop_bp_AN90","gene_quality_metrics.exome_mean_AS_MQ","gene_quality_metrics.exome_prop_segdup","gene_quality_metrics.exome_prop_LCR","gene_flags","constraint_flags"
172,385,"FBXL17",64839,"Q9UF56","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXL17","ENSG00000145743","ENST00000542267","ENST00000542267.7","MANE Select","chr5",107859035,108382098,0.47437,0.9955,22,66.224,0.3322,0.92596,0.97238,1.1836,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.57252,59.998,0,0.062292,"[]","[]"
173,372,"WWP1",11059,"Q9H0M0","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","WWP1","ENSG00000123124","ENST00000517970","ENST00000517970.6","MANE Select","chr8",86342547,86468503,0.4762,0.98757,49,130.56,0.37532,0.73507,3.7485,0.90258,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.272,0.035069,0,"[]","[]"
174,375,"CCNF",899,"P41002","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","CCNF","ENSG00000162063","ENST00000397066","ENST00000397066.9","MANE Select","chr16",2429447,2458854,0.47627,0.99436,30,85.436,0.35114,0.90955,1.2262,1.0327,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99025,59.999,0,0,"[]","[]"
175,410,"FBXO32",114907,"Q969P5","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO32","ENSG00000156804","ENST00000517956","ENST00000517956.5","MANE Select","chr8",123497889,123541206,0.47772,0.99375,15,48.349,0.31024,0.71409,2.5365,0.92822,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,60,0,0,"[]","[]"
176,579,"AMBRA1",55626,"Q9C0C7","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","AMBRA1","ENSG00000110497","ENST00000683756","ENST00000683756.1","MANE Select","chr11",46396414,46594023,0.47803,0.9859,47,125.38,0.37486,0.78601,3.7556,0.955,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.99872,59.999,0,0,"[]","[]"
177,528,"KCTD9",54793,"Q7L273","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KCTD9","ENSG00000104756","ENST00000221200","ENST00000221200.9","MANE Select","chr8",25427847,25458433,0.47833,0.99388,17,53.309,0.31889,0.3845,5.6638,0.7866,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.99486,57.398,0.097686,0,"[]","[]"
178,377,"FBH1",84893,"Q8NFZ0","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBH1","ENSG00000134452","ENST00000362091","ENST00000362091.9","MANE Select","chr10",5890243,5937593,0.48001,0.98569,43,115.52,0.37224,0.74853,3.9221,1.032,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.99968,59.998,0,0,"[]","[]"
179,535,"KLHL14",57565,"Q9P2G3","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL14","ENSG00000197705","ENST00000359358","ENST00000359358.9","MANE Select","chr18",32672673,32773023,0.4886,0.98832,22,64.296,0.34217,0.8378,1.9431,0.96574,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.91614,59.999,0,0.029724,"[]","[]"
180,115,"RNF103",7844,"O00237","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF103","ENSG00000239305","ENST00000237455","ENST00000237455.5","MANE Select","chr2",86603398,86623865,0.4925,0.98437,23,66.164,0.34762,0.89603,1.2656,1.0244,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
181,593,"DCAF15",90379,"Q66K64","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF15","ENSG00000132017","ENST00000254337","ENST00000254337.11","MANE Select","chr19",13952509,13961449,0.49629,0.9789,24,68.009,0.35289,0.75486,3.0132,1.1007,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.91444,59.998,0,0.038889,"[]","[]"
182,281,"UBR1",197131,"Q8IWV7","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBR1","ENSG00000159459","ENST00000290650","ENST00000290650.9","MANE Select","chr15",42942897,43106038,0.49658,0.006904,102,242.14,0.42124,0.84307,3.0685,0.98564,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
183,343,"RNF19B",127544,"Q6ZMZ0","RING-between-RING","RBR","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF19B","ENSG00000116514","ENST00000235150","ENST00000235150.5","MANE Select","chr1",32936449,32964809,0.49781,0.97792,23,65.457,0.35137,0.81022,2.5337,0.97988,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.86548,59.999,0,0.052896,"[]","[]"
184,50,"MARCHF4",57574,"Q9P2E8","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","MARCHF4","ENSG00000144583","ENST00000273067","ENST00000273067.5","MANE Select","chr2",216257865,216372483,0.49839,0.98342,14,43.914,0.3188,0.87193,1.2654,1.0594,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
185,495,"BTBD7",55727,"Q9P203","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BTBD7","ENSG00000011114","ENST00000334746","ENST00000334746.10","MANE Select","chr14",93237550,93333036,0.49881,0.9277,38,99.856,0.38055,0.83895,2.5651,1.0167,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99293,59.801,0.29005,0,"[]","[]"
186,234,"TRIM41",90933,"Q8WV44","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM41","ENSG00000146063","ENST00000315073","ENST00000315073.10","MANE Select","chr5",181223281,181235808,0.49907,0.97849,21,60.594,0.34657,0.97432,0.32275,1.1801,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.995,0,0.071958,"[]","[]"
187,30,"G2E3",55632,"Q7L622","RING, HECT","RING; HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","G2E3","ENSG00000092140","ENST00000206595","ENST00000206595.11","MANE Select","chr14",30559158,30620064,0.49985,0.93875,35,92.835,0.37701,0.67249,4.0091,0.88832,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.91596,59.258,0.10623,0.0056657,"[]","[]"
188,95,"PJA2",9867,"O43164","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PJA2","ENSG00000198961","ENST00000361189","ENST00000361189.7","MANE Select","chr5",109334722,109409974,0.50397,0.96252,25,69.283,0.36084,0.97443,0.31426,1.1088,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
189,414,"FBXO38",81545,"Q6PIJ6","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO38","ENSG00000145868","ENST00000340253","ENST00000340253.10","MANE Select","chr5",148383958,148442836,0.50525,0.53119,53,131.87,0.4019,0.72922,4.4361,0.89393,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
190,393,"FBXL7",23194,"Q9UJT9","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXL7","ENSG00000183580","ENST00000504595","ENST00000504595.2","MANE Select","chr5",15500180,15939793,0.50724,0.97702,12,38.33,0.31307,0.83827,1.7939,0.98706,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.97217,59.992,0,0,"[]","[]"
191,177,"RNF34",80196,"Q969K3","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF34","ENSG00000170633","ENST00000361234","ENST00000361234.10","MANE Select","chr12",121400118,121424348,0.51334,0.97132,12,37.874,0.31684,0.76578,2.1719,0.87445,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0.035842,"[]","[]"
192,650,"RAB40C",57799,"Q96S21","CRL5 substrate receptor (BC-box protein with CUL5 box)","CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RAB40C","ENSG00000197562","ENST00000248139","ENST00000248139.8","MANE Select","chr16",590066,629268,0.51336,0.97237,8,28.118,0.28452,0.7095,2.4962,1.1709,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.933,0,0,"[]","[]"
193,321,"RMND5A",64795,"Q9H871","Degenerate RING","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RMND5A","ENSG00000153561","ENST00000283632","ENST00000283632.5","MANE Select","chr2",86720291,86778041,0.51351,0.9633,17,49.657,0.34235,0.54111,4.2486,0.93015,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,53.204,0.24297,0,"[]","[]"
194,93,"PHRF1",57661,"Q9P1Y6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PHRF1","ENSG00000070047","ENST00000264555","ENST00000264555.10","MANE Select","chr11",576470,612222,0.51681,0.2064,53,128.92,0.4111,1.0957,-1.9499,1.2013,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
195,646,"PCMTD1",115294,"Q96MG8","CRL5 substrate receptor (BC-box protein with CUL5 box)","CRL5","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PCMTD1","ENSG00000168300","ENST00000522514","ENST00000522514.6","MANE Select","chr8",51817583,51899036,0.51715,0.96717,12,37.595,0.31919,0.55776,3.8714,0.8616,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,58.035,0.3408,0,"[]","[]"
196,327,"UBE4A",9354,"Q14139","Degenerate RING (U-box)","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","UBE4A","ENSG00000110344","ENST00000252108","ENST00000252108.8","MANE Select","chr11",118359600,118399211,0.51774,0.33167,48,117.92,0.40704,0.82314,2.7157,0.90441,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99781,59.998,0,0,"[]","[]"
197,408,"FBXO30",84085,"Q8TB52","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO30","ENSG00000118496","ENST00000237281","ENST00000237281.5","MANE Select","chr6",145793502,145814795,0.52041,0.92941,21,58.109,0.36139,0.82913,2.1829,0.98919,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
198,43,"LTN1",26046,"O94822","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LTN1","ENSG00000198862","ENST00000361371","ENST00000361371.10","MANE Select","chr21",28928144,28992877,0.52221,0.00026765,88,201.19,0.43739,0.85939,2.7077,0.90405,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99943,59.997,0,0.0024538,"[]","[]"
199,296,"ZNFX1",57169,"Q9P2E3","Degenerate RING, atypical","degenerate RING; Atypical","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ZNFX1","ENSG00000124201","ENST00000396105","ENST00000396105.6","MANE Select","chr20",49245900,49278057,0.52362,0.0013406,78,179.84,0.43373,0.80741,4.0127,0.97636,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
200,216,"TRIM23",373,"P36406","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM23","ENSG00000113595","ENST00000231524","ENST00000231524.14","MANE Select","chr5",65589690,65624333,0.52409,0.84175,27,71.045,0.38004,0.69621,3.4091,0.98306,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
201,492,"BTBD2",55643,"Q9BX70","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BTBD2","ENSG00000133243","ENST00000255608","ENST00000255608.9","MANE Select","chr19",1985448,2015714,0.52546,0.94667,15,43.956,0.34125,0.88029,1.3948,1.3191,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.82286,59.995,0,0.074921,"[]","[]"
202,493,"BTBD3",22903,"Q9Y2F9","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BTBD3","ENSG00000132640","ENST00000378226","ENST00000378226.7","MANE Select","chr20",11917893,11926595,0.52602,0.94938,14,41.608,0.33648,0.65069,3.8119,1.0656,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
203,273,"TRIM74",378108,"Q86UV6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM74","ENSG00000155428","ENST00000285805","ENST00000285805.3","MANE Select","chr7",72959485,72969466,0.5343,0.94765,3,14.512,0.20673,0.14942,4.7852,0.14023,FALSE,FALSE,"missing or flagged constraint","flagged","gene_flags=[""low_exome_mapping_quality""]",TRUE,TRUE,0.316,31.94,1,0,"[""low_exome_mapping_quality""]","[]"
204,219,"TRIM26",7726,"Q12899","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM26","ENSG00000234127","ENST00000454678","ENST00000454678.7","MANE Select","chr6",30184455,30213406,0.53452,0.91697,16,45.464,0.35193,0.63953,4.0416,0.94021,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.998,0,0.038961,"[]","[]"
205,588,"DCAF10",79269,"Q5QP82","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF10","ENSG00000122741","ENST00000377724","ENST00000377724.8","MANE Select","chr9",37800797,37867664,0.53734,0.87268,19,51.883,0.36621,0.69807,3.4805,0.97933,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
206,41,"LONRF3",79836,"Q496Y0","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LONRF3","ENSG00000175556","ENST00000371628","ENST00000371628.8","MANE Select","chrX",118974618,119018355,0.53973,0.85943,19,51.654,0.36783,0.83505,1.7572,1.0281,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99956,59.999,0,0,"[]","[]"
207,418,"FBXO41",150726,"Q8TF61","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO41","ENSG00000163013","ENST00000520530","ENST00000520530.3","MANE Select","chr2",73254690,73284478,0.54086,0.39369,33,81.583,0.4045,0.89565,1.5645,1.0421,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.91048,59.998,0,0.01219,"[]","[]"
208,180,"RNF4",6047,"P78317","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF4","ENSG00000063978","ENST00000314289","ENST00000314289.13","MANE Select","chr4",2469106,2515857,0.54087,0.94714,7,24.309,0.28796,0.84117,1.0677,0.98421,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.834,0.25789,0,"[]","[]"
209,600,"DCAF6",55827,"Q58WW2","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","DCAF6","ENSG00000143164","ENST00000367840","ENST00000367840.4","MANE Select","chr1",167936683,168075836,0.5413,0.011431,54,125.14,0.43151,0.80398,2.8494,0.95038,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.98493,59.63,0.02103,0,"[]","[]"
210,114,"RNF10",9921,"Q8N5U6","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF10","ENSG00000022840","ENST00000325954","ENST00000325954.9","MANE Select","chr12",120534356,120577588,0.54469,0.16167,38,91.443,0.41556,0.93376,0.89876,0.99372,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.997,0,0,"[]","[]"
211,581,"ATG16L1",55054,"Q676U5","CRL4 substrate receptor (DDB1-binding protein)","CRL4","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","ATG16L1","ENSG00000085978","ENST00000392017","ENST00000392017.9","MANE Select","chr2",233251673,233295669,0.55024,0.12936,37,88.462,0.41826,0.73595,3.0898,1.0713,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
212,75,"NEURL1B",54492,"A8MQ27","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","NEURL1B","ENSG00000214357","ENST00000369800","ENST00000369800.6","MANE Select","chr5",172641263,172691540,0.55198,0.88901,13,37.444,0.34718,0.89858,1.2825,1.0126,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.40901,59.999,0,0,"[]","[]"
213,244,"TRIM49C",642612,"P0CI26","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","TRIM49C","ENSG00000204449","ENST00000448984","ENST00000448984.1","MANE Select","chr11",90031106,90042025,0.55279,0.93528,6,21.423,0.28007,0.36393,5.7058,0.38498,FALSE,FALSE,"missing or flagged constraint","flagged","gene_flags=[""low_exome_mapping_quality""]",TRUE,TRUE,0.64012,35.033,1,0,"[""low_exome_mapping_quality""]","[]"
214,420,"FBXO43",286151,"Q4G163","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO43","ENSG00000156509","ENST00000428847","ENST00000428847.3","MANE Select","chr8",100133351,100145817,0.55363,0.66133,22,56.743,0.38771,0.89948,1.2239,1.039,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
215,357,"HERC3",8916,"Q15034","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","HERC3","ENSG00000138641","ENST00000402738","ENST00000402738.6","MANE Select","chr4",88592480,88708539,0.55572,0.00090797,58,129.88,0.44656,0.6711,4.9479,0.95351,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.906,0,0,"[]","[]"
216,402,"FBXO22",26263,"Q8NEZ5","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO22","ENSG00000167196","ENST00000308275","ENST00000308275.8","MANE Select","chr15",75903878,75942511,0.55613,0.8745,13,37.165,0.34979,0.87475,1.2062,0.9997,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
217,558,"KLHL4",56062,"Q9C0H6","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL4","ENSG00000102271","ENST00000373119","ENST00000373119.9","MANE Select","chrX",87517802,87670050,0.55685,0.79228,17,45.792,0.37125,0.99838,0.016127,1.1793,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
218,366,"SMURF2",64750,"Q9HAU4","HECT E3 ligase","HECT","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","SMURF2","ENSG00000108854","ENST00000262435","ENST00000262435.14","MANE Select","chr17",64542282,64662307,0.55698,0.0077946,48,109.62,0.43789,0.63255,4.7249,0.90827,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.97549,59.911,0.2451,0,"[]","[]"
219,317,"PELI1",57162,"Q96FA3","Degenerate RING","degenerate RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","PELI1","ENSG00000197329","ENST00000358912","ENST00000358912.5","MANE Select","chr2",64092652,64144420,0.55968,0.82279,15,41.269,0.36347,0.76685,2.2796,0.98846,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.99841,59.997,0,0,"[]","[]"
220,401,"FBXO21",23014,"O94952","CRL1 substrate receptor (F-box protein)","CRL1","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","FBXO21","ENSG00000135108","ENST00000622495","ENST00000622495.5","MANE Select","chr12",117141991,117190470,0.56085,0.15815,32,76.638,0.41755,0.73494,3.1921,1.0531,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.97853,59.999,0,0,"[]","[]"
221,175,"RNF26",79102,"Q9BY78","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF26","ENSG00000173456","ENST00000311413","ENST00000311413.5","MANE Select","chr11",119334527,119337309,0.56722,0.90264,8,25.448,0.31437,0.85137,1.4894,1.0621,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
222,39,"LONRF1",91694,"Q17RB8","RING","RING","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","LONRF1","ENSG00000154359","ENST00000398246","ENST00000398246.8","MANE Select","chr8",12721906,12755526,0.56749,0.037405,37,85.774,0.43137,1.0593,-0.79135,1.3252,FALSE,FALSE,"no strong pLoF/missense signal","pass","none",FALSE,FALSE,0.83312,59.999,0,0,"[]","[]"
223,342,"RNF19A",25897,"Q9NV58","RING-between-RING","RBR","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","RNF19A","ENSG00000034677","ENST00000341084","ENST00000341084.7","MANE Select","chr8",100257067,100309953,0.56791,0.10453,32,75.685,0.42281,0.75463,3.3688,0.97053,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.999,0,0,"[]","[]"
224,487,"BTBD10",84280,"Q9BSF8","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","BTBD10","ENSG00000148925","ENST00000278174","ENST00000278174.10","MANE Select","chr11",13388008,13463222,0.56848,0.53132,21,53.195,0.39478,0.60537,4.1042,0.77332,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,0.99228,58.949,0.21614,0,"[]","[]"
225,540,"KLHL20",27252,"Q9Y2M5","CRL3 substrate receptor (BTB protein)","CRL3","","matched","gene symbol checked fallback","E3 source has NCBI GeneID but no Ensembl gene ID; matched to one selected Ensembl protein-coding gnomAD row by symbol.","KLHL20","ENSG00000076321","ENST00000209884","ENST00000209884.5","MANE Select","chr1",173714981,173786692,0.56867,0.17695,29,69.533,0.41707,0.53992,5.4662,0.95405,FALSE,TRUE,"missense constrained only","pass","none",FALSE,FALSE,1,59.998,0,0,"[]","[]"
